gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_NULL,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000083,3,1764420194225383400,0.03072,0.580352,0.030464,110.542336,372.743936,393.929728,654.546176,676.458496
0000000183,4,1764420194229214500,0.123904,0.44416,0.123136,105.152768,368.50048,389.893632,647.766784,670.552832
0000000283,5,1764420194247054800,0.072448,0.603648,0.07168,87.470848,350.661376,372.088576,630.434304,654.504704
0000000084,3,1764420194725566000,0.043776,0.4992,0.04352,166.850816,229.106944,250.152192,491.135488,513.989376
0000000184,4,1764420194729195800,0.030208,0.390144,0.029696,162.6176,225.705984,246.514688,490.958592,513.910528
0000000284,5,1764420194746755300,0.06656,0.623104,0.065792,145.057536,208.032256,229.412096,471.396608,494.1376
0000000085,3,1764420195226135300,0.0256,0.616704,0.025344,219.861504,279.887616,300.594176,548.768768,573.309184
0000000185,4,1764420195229651700,0.020992,0.281344,0.020736,219.700992,276.147712,297.306368,550.634752,574.744832
0000000285,5,1764420195246691800,0.021504,0.264704,0.021248,199.176448,259.427328,281.031936,529.188864,552.748288
0000000086,3,1764420195726635300,0.07424,0.3648,0.073728,75.089664,379.32928,399.873536,641.062656,664.89984
0000000186,4,1764420195729824800,0.0256,0.296448,0.025344,72.92416,373.944576,394.975744,636.286208,659.742208
0000000286,5,1764420195746886000,0.02688,0.418048,0.026624,54.880512,360.40192,381.808384,618.474496,642.576384
0000000087,3,1764420196227045400,0.025344,0.402688,0.025344,156.770304,225.650432,246.468608,489.176832,512.487168
0000000187,4,1764420196230523100,0.024064,0.643072,0.023808,153.296384,221.028096,241.946368,485.432064,509.03936
0000000287,5,1764420196247643100,0.083968,0.631552,0.083456,135.93216,203.075328,223.773952,472.547584,496.365056
0000000088,3,1764420196727489300,0.024832,0.33152,0.024576,224.28288,287.624192,308.0896,545.209088,568.924416
0000000188,4,1764420196730641000,0.125952,0.466944,0.125184,221.46304,285.049856,305.648128,542.984448,565.91872
0000000288,5,1764420196748628200,0.026112,0.479744,0.025856,203.373824,265.998848,286.575616,529.088,552.704768
0000000089,3,1764420197227900200,0.022016,0.315392,0.02176,73.305088,336.979968,357.95072,601.465344,624.374784
0000000189,4,1764420197230737000,0.025344,0.312064,0.025088,70.891008,334.457856,355.085568,595.988224,619.030272
0000000289,5,1764420197248824000,0.020736,0.399104,0.02048,52.412416,316.072192,337.075968,578.13632,600.895232
0000000090,3,1764420197728060400,0.038912,0.37248,0.038656,115.13984,184.70912,205.636352,443.374848,466.582784
0000000190,4,1764420197731390500,0.049408,0.326144,0.048896,110.396416,181.409024,202.262272,440.732928,463.922432
0000000290,5,1764420197749114600,0.024064,0.414464,0.023808,93.74464,163.935744,184.53248,422.415616,445.381888
0000000091,3,1764420198228985900,0.219648,0.507392,0.104448,171.665152,234.053376,255.05664,497.900032,5522.162944
0000000191,4,1764420198231900400,0.021504,0.3328,0.020992,169.469952,230.976,252.254464,497.311488,520.075264
0000000291,5,1764420198251273700,0.029952,0.264704,0.029696,150.094848,211.657728,232.596224,474.637056,498.237952
0000000092,3,1764420198729010000,0.155904,0.394496,0.155136,235.789568,319.440896,340.352,585.483264,608.415232
0000000192,4,1764420198732243500,0.085504,0.477184,0.084224,232.746496,318.376448,344.131072,581.211136,5604.233216
0000000292,5,1764420198750992600,0.0256,0.268544,0.025344,213.2928,298.1696,319.04256,559.662592,5583.131136
0000000093,3,1764420199229307000,0.092416,0.679168,0.091904,100.421888,162.06848,182.962176,421.890304,445.631488
0000000193,4,1764420199232373000,0.049152,0.355328,0.048128,97.359616,164.512256,185.975296,418.603008,442.56512
0000000293,5,1764420199251392800,0.081152,0.503808,0.080384,86.142208,343.727616,364.47744,602.12864,625.099776
