gnbid,type,timestamp,MM5G_DEREGISTERED,SM5G_PDU_SESSION_INACTIVE,MM5G_NULL,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000553,8,1764419809689884000,0.394496,0.031232,0.03072,199.166464,487.488768,508.5888,685.8944,712.012544
0000000053,3,1764419809690219800,0.482048,0.018176,0.01792,101.430528,412.02816,433.178112,584.80896,605.854208
0000000765,10,1764419809712736300,0.3264,0.022528,0.022272,86.536704,377.341952,399.978752,569.166848,589.444864
0000000865,11,1764419809712952300,1.747712,0.304128,0.301824,102.60864,435.99744,457.020672,571.106304,596.813824
0000000353,6,1764419809722151700,0.83712,0.04864,0.047616,113.52832,507.356928,529.204224,746.840064,769.578752
0000000264,5,1764419809738185700,1.199872,0.030464,0.030208,81.274112,451.188736,472.229632,621.999616,645.26208
0000000154,4,1764419809755940000,0.29696,0.026624,0.026368,142.718976,567.532544,588.589568,714.693376,737.310976
0000000963,12,1764419809767495000,0.283136,0.025088,0.024832,120.745728,464.242944,486.2592,632.92544,654.440704
0000000660,9,1764419809774526500,0.403968,0.022016,0.02176,99.714048,415.518976,436.184064,597.586944,620.086528
0000000458,7,1764419809776415000,0.531712,0.052736,0.05248,97.208576,519.217152,540.205824,700.714752,722.4256
0000001058,13,1764419809777347300,0.508416,0.036096,0.035584,100.862208,581.975552,605.600768,780.806656,801.982976
0000000554,8,1764419809790509000,0.70784,0.121344,0.120064,117.56544,577.172736,598.36544,859.434752,880.618752
0000000054,3,1764419809790681900,2.024192,0.082944,0.081408,103.206144,540.023808,560.894976,688.061184,708.114432
0000000766,10,1764419809812913400,0.406016,0.027136,0.02688,96.999936,638.891776,659.861248,811.611392,833.53216
0000000866,11,1764419809813460700,0.629248,0.151296,0.150528,137.407232,633.304576,653.90976,815.08352,837.63456
0000000354,6,1764419809831365400,0.849664,0.103424,0.102656,73.518848,403.391744,424.817664,644.8448,667.971328
0000000265,5,1764419809838244400,0.758272,0.136192,0.13568,137.339392,496.387072,517.901056,641.416192,661.966592
0000000155,4,1764419809856116500,0.514304,0.0384,0.037888,95.120896,577.780224,599.158784,725.60128,746.728448
0000000964,12,1764419809867921400,0.576512,0.076544,0.075776,82.370304,493.265152,514.102784,633.720064,655.03616
0000000661,9,1764419809875575000,0.718848,0.07552,0.07424,112.087296,561.210624,582.347776,692.293888,713.68064
0000000459,7,1764419809876575500,0.473344,0.026624,0.026112,113.52192,582.326016,603.844864,754.954752,776.760576
0000001059,13,1764419809878318300,0.697344,0.03072,0.029952,145.480448,577.967104,600.4608,763.598848,784.345088
0000000555,8,1764419809890774000,0.38656,0.051968,0.0512,82.60096,483.527168,507.49184,765.216,787.222272
0000000055,3,1764419809891230000,1.905664,0.323328,0.318464,66.370304,459.532288,484.15488,597.904896,618.887168
0000000767,10,1764419809913055200,0.435456,0.051456,0.050688,182.856192,625.467392,646.882048,807.137792,827.541504
0000000867,11,1764419809913675300,0.489728,0.029696,0.02944,84.7744,631.657984,652.839424,848.230656,868.624384
0000000355,6,1764419809931569400,0.362752,0.03328,0.033024,65.09312,503.943424,524.790016,667.560192,689.444352
0000000266,5,1764419809938633000,0.435968,0.034304,0.033792,124.113408,607.081216,627.881728,730.721024,752.572416
0000000156,4,1764419809957045200,0.333056,0.04736,0.046848,124.19584,667.763712,688.603392,884.444928,910.162176
0000000965,12,1764419809969172000,0.377856,0.05376,0.052992,90.977536,578.557696,599.80032,832.095488,854.664704
0000000662,9,1764419809976017700,0.315136,0.02176,0.021504,94.028288,478.193664,500.006656,634.797312,656.580608
0000000460,7,1764419809977721000,0.365056,0.022784,0.022528,89.298688,571.055104,591.852288,857.272064,878.68416
0000001060,13,1764419809978873300,2.586624,0.05888,0.058112,96.750848,577.534208,598.2336,830.083328,852.815616
0000000056,3,1764419809991495000,0.324608,0.029952,0.029696,97.105664,543.154688,564.116224,851.489536,873.250048
0000000556,8,1764419809991696000,0.56064,0.205568,0.203776,117.416704,639.894784,661.003776,843.214848,864.553216
0000000768,10,1764419810013209300,0.393728,0.041984,0.041728,150.395648,603.831552,625.250048,821.159936,843.726848
0000000868,11,1764419810014332000,0.953344,0.073216,0.07296,133.395712,623.333632,643.938048,837.371904,859.229184
0000000356,6,1764419810032047000,0.345344,0.047872,0.04736,56.020224,519.646976,540.711936,691.941376,713.368832
0000000267,5,1764419810038889000,1.2544,0.061952,0.061696,49.960448,490.523136,511.618304,671.28192,693.180928
0000000157,4,1764419810057816000,0.344832,0.037632,0.037376,114.124544,490.910976,511.554048,674.64704,696.99456
0000000966,12,1764419810069848800,0.365824,0.033792,0.033536,192.123904,649.11232,677.646848,877.437184,899.6544
0000000663,9,1764419810076960500,0.337152,0.050688,0.049664,80.459776,583.053824,603.738624,798.106624,818.754304
0000000461,7,1764419810078459600,0.35328,0.030208,0.029952,98.418944,578.684672,599.3536,772.03712,793.46432
0000001061,13,1764419810082718000,4.233216,0.038912,0.038656,128.914176,652.965888,677.15328,886.316544,908.430592
0000000557,8,1764419810091246300,2.586368,0.039936,0.03968,104.363776,619.41248,641.16736,760.374528,782.267648
0000000057,3,1764419810091710500,0.431872,0.041984,0.041728,83.944192,568.0192,588.641024,762.441984,784.127488
0000000769,10,1764419810113326800,0.448512,0.024064,0.023808,120.547328,608.8384,630.472192,852.766976,875.947264
